1.600000000000000000e+02,1.280000000000000000e+02
1.120000000000000000e+02,8.000000000000000000e+01
1.600000000000000000e+02,1.600000000000000000e+02
1.810210723876953125e+02,9.051054382324218750e+01
1.600000000000000000e+02,9.600000000000000000e+01
6.400000000000000000e+01,1.280000000000000000e+02
1.280000000000000000e+02,1.600000000000000000e+02
9.600000000000000000e+01,1.600000000000000000e+02
6.400000000000000000e+01,9.600000000000000000e+01
1.810210723876953125e+02,2.262763977050781250e+01
1.357658081054687500e+02,1.357658081054687500e+02
1.600000000000000000e+01,4.800000000000000000e+01
1.280000000000000000e+02,1.760000000000000000e+02
1.120000000000000000e+02,6.400000000000000000e+01
1.600000000000000000e+01,3.200000000000000000e+01
1.131381683349609375e+02,1.131381683349609375e+02
6.400000000000000000e+01,1.600000000000000000e+02
3.200000000000000000e+01,3.200000000000000000e+01
1.131381683349609375e+02,1.357658081054687500e+02
8.000000000000000000e+01,1.120000000000000000e+02
6.400000000000000000e+01,1.760000000000000000e+02
4.800000000000000000e+01,1.600000000000000000e+02
4.800000000000000000e+01,1.760000000000000000e+02
1.280000000000000000e+02,3.200000000000000000e+01
1.600000000000000000e+01,6.400000000000000000e+01
1.280000000000000000e+02,9.600000000000000000e+01
3.200000000000000000e+01,1.600000000000000000e+01
9.600000000000000000e+01,8.000000000000000000e+01
3.200000000000000000e+01,9.600000000000000000e+01
1.600000000000000000e+02,1.760000000000000000e+02
9.600000000000000000e+01,9.600000000000000000e+01
1.923348999023437500e+02,1.131381988525390625e+01
1.810210876464843750e+02,1.131381988525390625e+01
1.840000000000000000e+02,1.600000000000000000e+01
1.120000000000000000e+02,1.120000000000000000e+02
4.800000000000000000e+01,1.600000000000000000e+01
1.357850036621093750e+02,4.526165771484375000e+01
1.280000000000000000e+02,1.280000000000000000e+02
1.600000000000000000e+02,1.600000000000000000e+02
1.120000000000000000e+02,1.280000000000000000e+02
9.600000000000000000e+01,1.280000000000000000e+02
9.600000000000000000e+01,1.120000000000000000e+02
6.788290405273437500e+01,1.923348999023437500e+02
7.919672393798828125e+01,1.923348999023437500e+02
1.600000000000000000e+02,0.000000000000000000e+00
5.656908416748046875e+01,1.810210876464843750e+02
2.036487121582031250e+02,1.697072601318359375e+02
1.600000000000000000e+01,1.600000000000000000e+01
1.131381759643554688e+02,1.810210876464843750e+02
1.697072601318359375e+02,1.131381988525390625e+01
6.788290405273437500e+01,1.131381988525390625e+01
1.470796203613281250e+02,1.131381988525390625e+01
9.051054382324218750e+01,0.000000000000000000e+00
1.760000000000000000e+02,1.840000000000000000e+02
1.244519882202148438e+02,1.810210876464843750e+02
7.919672393798828125e+01,1.810210876464843750e+02
6.788290405273437500e+01,1.810210876464843750e+02
1.280000000000000000e+02,1.280000000000000000e+02
4.525527191162109375e+01,1.131381988525390625e+01
3.394144821166992188e+01,1.131381988525390625e+01
1.923348999023437500e+02,1.470796203613281250e+02
2.036487121582031250e+02,1.583934478759765625e+02
1.810210876464843750e+02,1.923348999023437500e+02
6.788290405273437500e+01,1.018243560791015625e+02
1.440000000000000000e+02,1.120000000000000000e+02
6.788289642333984375e+01,0.000000000000000000e+00
1.131381988525390625e+01,4.525527191162109375e+01
9.051053619384765625e+01,1.923348999023437500e+02
5.656908416748046875e+01,1.131381988525390625e+01
1.131381988525390625e+01,5.656908416748046875e+01
1.920000000000000000e+02,2.400000000000000000e+01
8.000000000000000000e+01,1.680000000000000000e+02
2.262763214111328125e+01,5.656908416748046875e+01
1.280000000000000000e+02,6.400000000000000000e+01
1.697072601318359375e+02,1.810210876464843750e+02
7.200000000000000000e+01,1.680000000000000000e+02
1.680000000000000000e+02,1.760000000000000000e+02
1.810210876464843750e+02,1.470796203613281250e+02
1.040000000000000000e+02,1.760000000000000000e+02
1.040000000000000000e+02,1.680000000000000000e+02
1.600000000000000000e+02,1.920000000000000000e+02
1.018243560791015625e+02,1.923348999023437500e+02
1.810210723876953125e+02,0.000000000000000000e+00
6.400000000000000000e+01,0.000000000000000000e+00
9.600000000000000000e+01,1.600000000000000000e+02
1.600000000000000000e+01,8.000000000000000000e+00
2.036487121582031250e+02,1.131381988525390625e+01
2.036487121582031250e+02,1.470796203613281250e+02
9.052334594726562500e+01,4.526165771484375000e+01
3.200000000000000000e+01,0.000000000000000000e+00
1.357658081054687500e+02,0.000000000000000000e+00
1.131381759643554688e+02,1.357658081054687500e+02
2.262763214111328125e+01,1.131381988525390625e+01
8.800000000000000000e+01,1.760000000000000000e+02
1.760000000000000000e+02,1.920000000000000000e+02
1.680000000000000000e+02,2.000000000000000000e+02
8.800000000000000000e+01,1.680000000000000000e+02
1.357850036621093750e+02,0.000000000000000000e+00
2.080000000000000000e+02,7.200000000000000000e+01
4.000000000000000000e+01,6.400000000000000000e+01
1.280000000000000000e+02,8.000000000000000000e+00
1.680000000000000000e+02,1.920000000000000000e+02
1.600000000000000000e+02,7.200000000000000000e+01
2.080000000000000000e+02,3.200000000000000000e+01
6.400000000000000000e+01,9.600000000000000000e+01
